ticker,ticker-full,short-name,sector,industry,6-10--2025
ZD,ZD US Equity,ZIFF DAVIS INC,Communication Services,Interactive Media & Services,34.26
CARG,CARG US Equity,CARGURUS INC,Communication Services,Interactive Media & Services,32.9
MTCH,MTCH US Equity,MATCH GROUP INC,Communication Services,Interactive Media & Services,31.7
EVER,EVER US Equity,EVERQUOTE INC-A,Communication Services,Interactive Media & Services,25.87
GRND,GRND US Equity,GRINDR INC,Communication Services,Interactive Media & Services,22.97
DJT,DJT US Equity,TRUMP MEDIA & TE,Communication Services,Interactive Media & Services,20.91
SSTK,SSTK US Equity,SHUTTERSTOCK INC,Communication Services,Interactive Media & Services,18.99
ANGI,ANGI US Equity,ANGI INC,Communication Services,Interactive Media & Services,16.58
QNST,QNST US Equity,QUINSTREET INC,Communication Services,Interactive Media & Services,15.87
TRIP,TRIP US Equity,TRIPADVISOR INC,Communication Services,Interactive Media & Services,14.27
TZOO,TZOO US Equity,TRAVELZOO,Communication Services,Interactive Media & Services,13.94
MAX,MAX US Equity,MEDIAALPHA INC-A,Communication Services,Interactive Media & Services,11.08
CARS,CARS US Equity,CARS.COM INC,Communication Services,Interactive Media & Services,10.7
GTM,GTM US Equity,ZOOMINFO TECH,Communication Services,Interactive Media & Services,10.12
RUM,RUM US Equity,RUMBLE INC,Communication Services,Interactive Media & Services,9.15
WBTN,WBTN US Equity,WEBTOON ENTERTAI,Communication Services,Interactive Media & Services,8.89
SNAP,SNAP US Equity,SNAP INC - A,Communication Services,Interactive Media & Services,8.49
ZIP,ZIP US Equity,ZIPRECRUITER INC,Communication Services,Interactive Media & Services,6.07
BMBL,BMBL US Equity,BUMBLE INC-A,Communication Services,Interactive Media & Services,5.24
AREN,AREN US Equity,ARENA GROUP HOLD,Communication Services,Interactive Media & Services,4.95
VMEO,VMEO US Equity,VIMEO INC,Communication Services,Interactive Media & Services,4.52
FUBO,FUBO US Equity,FUBOTV INC,Communication Services,Interactive Media & Services,3.28
IZEA,IZEA US Equity,IZEA WORLDWIDE I,Communication Services,Interactive Media & Services,2.9
TEAD,TEAD US Equity,TEADS HOLDING CO,Communication Services,Interactive Media & Services,2.66
ZDGE,ZDGE US Equity,ZEDGE INC-B,Communication Services,Interactive Media & Services,2.63
DHX,DHX US Equity,DHI GROUP INC,Communication Services,Interactive Media & Services,2.45
BZFD,BZFD US Equity,BUZZFEED INC,Communication Services,Interactive Media & Services,2.26
IPM,IPM US Equity,INTELLIGENT PROT,Communication Services,Interactive Media & Services,2.07
GETY,GETY US Equity,GETTY IMAGES HOL,Communication Services,Interactive Media & Services,1.69
KIND,KIND US Equity,NEXTDOOR HOLDING,Communication Services,Interactive Media & Services,1.64
TRUE,TRUE US Equity,TRUECAR INC,Communication Services,Interactive Media & Services,1.56
SOPA,SOPA US Equity,SOCIETY PASS INC,Communication Services,Interactive Media & Services,1.39
HWH,HWH US Equity,HWH INTERNATIONA,Communication Services,Interactive Media & Services,1.29
SST,SST US Equity,SYSTEM1 INC,Communication Services,Interactive Media & Services,0.44
CHTR,CHTR US Equity,CHARTER COMMUN-A,Communication Services,Media,406.77
NXST,NXST US Equity,NEXSTAR MEDIA,Communication Services,Media,171.9
CABO,CABO US Equity,CABLE ONE INC,Communication Services,Media,146.47
LBRDK,LBRDK US Equity,LIBERTY BR-C,Communication Services,Media,96.43
LBRDA,LBRDA US Equity,LIBERTY BR-A,Communication Services,Media,95.48
OMC,OMC US Equity,OMNICOM GROUP,Communication Services,Media,73.21
TTD,TTD US Equity,TRADE DESK INC-A,Communication Services,Media,72.37
NYT,NYT US Equity,NEW YORK TIMES-A,Communication Services,Media,55.33
