ticker
ABR
ACI
AEO
AES
AESI
AOMR
APA
ARCC
ARLP
BKSC
BLMN
BMBN
BOTJ
BSM
CBAN
CGBD
COLB
CTRA
CVBF
CVI
CZNC
DLX
EBF
EMYB
ESP
ET
FCF
FDUS
FHB
FHN
FMBM
FMNB
GAP
GLAD
GSBD
HBAN
HBT
HPE
HRZN
HTGC
JDVB
JFBC
JUVF
JWN
KLG
LADR
MYE
NFE
OGN
ONB
PAA
PDCO
PFLC
PFLT
PINC
PNBI
PR
PTVE
REFI
RF
RSKIA
SAMG
SBGI
SD
SGU
SPH
T
TRIN
TSLX
UBCP
UGI
UNTN
UVE
WLKP
WTBA
WU
