index,ABR,ACI,AEO,AES,AESI,AOMR,APA,ARCC,ARLP,BKSC,BLMN,BMBN,BOTJ,BSM,CBAN,CGBD,COLB,CTRA,CVBF,CVI,CZNC,DLX,EBF,EMYB,ESP,ET,FCF,FDUS,FHB,FHN,FMBM,FMNB,GAP,GLAD,GSBD,HBAN,HBT,HPE,HRZN,HTGC,JDVB,JFBC,JUVF,JWN,KLG,LADR,MYE,NFE,OGN,ONB,PAA,PDCO,PFLC,PFLT,PINC,PNBI,PR,PTVE,REFI,RF,RSKIA,SAMG,SBGI,SD,SGU,SPH,T,TRIN,TSLX,UBCP,UGI,UNTN,UVE,WLKP,WTBA,WU
2024-04-11 00:00:00-04:00,10.64879322052002,20.003253936767578,22.869537353515625,16.722787857055664,22.305524826049805,9.266188621520996,32.64220428466797,18.73641014099121,18.35038185119629,11.389267921447754,24.99547576904297,20.85903549194336,9.767470359802246,14.313495635986328,10.21257209777832,14.864312171936035,16.641218185424805,26.708606719970703,15.621987342834473,34.157066345214844,16.05756187438965,18.1036319732666,16.694961547851562,13.074644088745117,22.046823501586914,14.279648780822754,12.2647705078125,17.5826473236084,20.00635528564453,13.954065322875977,15.021504402160645,11.534090995788574,22.710580825805664,18.55980682373047,13.077256202697754,12.923481941223145,17.582347869873047,17.454526901245117,9.638091087341309,16.326326370239258,22.1144962310791,17.127161026000977,10.502840995788574,19.158845901489258,20.667516708374023,9.811877250671387,20.898033142089844,28.562503814697266,17.11613655090332,15.413244247436523,16.359113693237305,24.90449333190918,9.135468482971191,9.996064186096191,20.0941104888916,22.354089736938477,16.983285903930664,,13.709239959716797,18.375776290893555,11.52932357788086,14.12536334991455,11.322906494140625,14.393901824951172,9.66585922241211,18.229324340820312,15.606284141540527,12.673856735229492,19.003393173217773,12.685478210449219,22.676105499267578,16.44036865234375,18.385032653808594,19.860937118530273,15.081571578979492,12.2346773147583
2024-04-12 00:00:00-04:00,10.460166931152344,19.722610473632812,22.35594367980957,15.812516212463379,22.00511360168457,9.472487449645996,31.996946334838867,18.51727294921875,18.35038185119629,11.426949501037598,24.569149017333984,20.85903549194336,9.536517143249512,14.154847145080566,10.154925346374512,14.666243553161621,16.390485763549805,26.516733169555664,15.526205062866211,33.887054443359375,15.862077713012695,17.890430450439453,16.601024627685547,13.074644088745117,22.07574462890625,14.042868614196777,12.235957145690918,17.42198944091797,19.9114933013916,13.703161239624023,15.021504402160645,11.448440551757812,21.846431732177734,18.245389938354492,12.91238021850586,12.751042366027832,17.76862907409668,16.94860076904297,9.6038236618042,16.113487243652344,22.1144962310791,17.127161026000977,10.502840995788574,18.44281005859375,20.03542137145996,9.691993713378906,20.85965347290039,28.010190963745117,16.338979721069336,15.268383026123047,16.14984703063965,24.643156051635742,9.041770935058594,9.883590698242188,20.027633666992188,22.354089736938477,16.906999588012695,,13.542909622192383,18.16750144958496,11.52932357788086,14.115826606750488,10.946089744567871,14.221978187561035,9.433954238891602,17.723974227905273,15.501734733581543,12.560930252075195,18.777162551879883,12.610747337341309,22.156658172607422,16.44036865234375,18.059295654296875,19.842880249023438,15.100341796875,12.1334867477417
2024-04-15 00:00:00-04:00,10.44301986694336,19.58712387084961,21.948942184448242,15.164998054504395,20.728363037109375,9.36933708190918,31.465564727783203,18.480749130249023,18.193538665771484,11.35158634185791,24.82865333557129,20.85903549194336,9.584630966186523,13.863993644714355,10.164532661437988,14.684247970581055,16.32547950744629,26.085023880004883,15.411269187927246,33.27951431274414,15.955164909362793,17.695768356323242,16.25090217590332,13.074644088745117,22.14322280883789,13.869837760925293,12.139915466308594,17.359514236450195,19.807146072387695,13.53911018371582,14.974709510803223,11.391341209411621,21.24444007873535,18.326236724853516,12.964446067810059,12.703142166137695,17.58712387084961,16.792930603027344,9.620955467224121,15.927255630493164,22.246238708496094,17.127161026000977,10.502840995788574,17.194583892822266,20.083309173583984,9.581334114074707,20.514230728149414,27.59595489501953,16.58242416381836,15.15249252319336,15.931483268737793,24.536685943603516,8.807528495788574,9.857020378112793,19.70475959777832,22.354089736938477,16.86885643005371,,13.455365180969238,18.195899963378906,11.25749397277832,13.791542053222656,10.844991683959961,14.050052642822266,9.34118938446045,17.181873321533203,15.43520450592041,12.187402725219727,18.73191261291504,12.031587600708008,22.213327407836914,16.44036865234375,18.30838966369629,19.770658493041992,15.081571578979492,11.811522483825684
2024-04-16 00:00:00-04:00,10.348706245422363,19.558090209960938,21.609777450561523,14.930390357971191,20.812854766845703,9.334955215454102,30.83928871154785,18.480749130249023,18.306814193725586,11.276223182678223,25.041812896728516,20.85903549194336,9.43066120147705,13.68772029876709,10.174141883850098,14.75627326965332,16.111894607543945,26.085023880004883,15.085610389709473,32.72019577026367,15.843461990356445,17.315711975097656,16.276517868041992,13.123068809509277,21.69978141784668,13.751449584960938,12.034266471862793,17.40414047241211,19.47513198852539,13.423309326171875,14.965352058410645,11.267626762390137,20.37058448791504,18.38014030456543,12.981801986694336,12.49238109588623,17.462934494018555,16.676176071166992,9.638091087341309,15.953863143920898,22.58501625061035,16.803646087646484,10.557686805725098,17.136524200439453,20.217388153076172,9.461451530456543,20.59099006652832,27.231035232543945,16.657333374023438,14.949687957763672,15.704020500183105,24.80769920349121,8.723201751708984,9.821595191955566,19.65728187561035,22.354089736938477,16.792570114135742,,13.376577377319336,17.807748794555664,11.248120307922363,13.762929916381836,11.047186851501465,13.849474906921387,9.37829303741455,17.044048309326172,15.292637825012207,12.222148895263672,18.596176147460938,11.863443374633789,21.82610511779785,16.44036865234375,18.375452041625977,19.770658493041992,14.968952178955078,11.682734489440918
2024-04-17 00:00:00-04:00,10.41729736328125,19.78067398071289,21.677610397338867,15.146228790283203,20.625097274780273,9.5326566696167,30.611549377441406,18.562925338745117,18.411373138427734,11.295063972473145,24.939868927001953,20.85903549194336,9.41141414642334,13.855181694030762,10.116497039794922,14.828300476074219,16.241905212402344,26.11380386352539,15.181392669677734,32.21873474121094,15.862077713012695,17.417678833007812,16.285058975219727,12.590397834777832,21.690141677856445,13.869837760925293,12.120705604553223,17.555870056152344,19.484617233276367,13.674212455749512,14.871758460998535,11.29617691040039,20.58419418334961,18.523874282836914,13.12932300567627,12.597761154174805,17.32918930053711,16.569156646728516,9.690003395080566,16.10462188720703,22.58501625061035,16.851219177246094,10.557686805725098,17.368755340576172,20.562164306640625,9.452230453491211,20.120832443237305,27.112682342529297,16.73223876953125,14.99797534942627,15.795005798339844,24.90449333190918,8.854376792907715,9.83930778503418,19.60030174255371,22.354089736938477,16.725818634033203,,13.402841567993164,17.855085372924805,11.548069953918457,13.562637329101562,10.82660961151123,13.648895263671875,9.406123161315918,17.54020881652832,15.321151733398438,12.300329208374023,18.75001335144043,11.919492721557617,22.38332748413086,16.44036865234375,17.992231369018555,19.635244369506836,14.828178405761719,11.774726867675781
2024-04-18 00:00:00-04:00,10.700236320495605,19.800029754638672,21.648536682128906,15.268224716186523,20.57815933227539,9.635805130004883,30.772865295410156,18.645103454589844,18.35038185119629,11.31390380859375,25.051082611083984,20.85903549194336,9.478777885437012,13.537886619567871,10.03963851928711,15.05337905883789,16.474063873291016,26.11380386352539,15.305908203125,31.389400482177734,16.094797134399414,17.565994262695312,16.310680389404297,13.016533851623535,21.034616470336914,14.143045425415039,12.283978462219238,17.62727165222168,19.47513198852539,13.780362129211426,14.787527084350586,11.400858879089355,20.41913414001465,18.718576431274414,13.242133140563965,12.62650203704834,17.35784912109375,16.578886032104492,9.837084770202637,16.18443489074707,22.58501625061035,16.84170913696289,10.603391647338867,18.13317108154297,20.83990478515625,9.507559776306152,20.408687591552734,27.812936782836914,16.722877502441406,15.239410400390625,16.095258712768555,24.90449333190918,8.845006942749023,9.963296890258789,19.74274444580078,22.354089736938477,16.382530212402344,,13.446611404418945,17.987625122070312,11.548069953918457,13.486336708068848,11.120713233947754,13.677550315856934,9.39684772491455,17.48508071899414,15.520744323730469,12.38719654083252,18.84955406188965,12.153024673461914,22.468326568603516,16.44036865234375,18.19342041015625,19.626216888427734,15.25988483428955,11.89431381225586
2024-04-19 00:00:00-04:00,10.820270538330078,19.69357681274414,21.687299728393555,15.390220642089844,20.925512313842773,10.005422592163086,30.94499397277832,18.800325393676758,18.385236740112305,11.464631080627441,25.060346603393555,20.66940689086914,9.546138763427734,13.67890739440918,10.21257209777832,15.035374641418457,17.003389358520508,26.622262954711914,15.928487777709961,31.6497745513916,16.50438117980957,18.27048683166504,16.592485427856445,13.016533851623535,21.024974822998047,14.361612319946289,12.67775821685791,17.814699172973633,19.920978546142578,14.11811637878418,14.974709510803223,11.810070991516113,20.156972885131836,19.062702178955078,13.302875518798828,12.722301483154297,17.69220542907715,16.335649490356445,9.94090461730957,16.37066650390625,19.291366577148438,16.651403427124023,10.557686805725098,18.307344436645508,20.322738647460938,9.664328575134277,20.696535110473633,27.674856185913086,16.685422897338867,15.635364532470703,16.32271957397461,25.442283630371094,8.854376792907715,10.069572448730469,20.113101959228516,22.354089736938477,16.28717041015625,,13.560417175292969,17.89295196533203,11.548069953918457,13.944147109985352,11.35047721862793,13.878128051757812,9.554543495178223,17.843420028686523,15.691825866699219,12.474061965942383,18.921951293945312,12.27446174621582,24.30999183654785,16.44036865234375,18.7969970703125,19.6171875,15.869905471801758,11.977104187011719
2024-04-22 00:00:00-04:00,10.940306663513184,19.57744789123535,21.822969436645508,15.671751022338867,20.906736373901367,9.98823070526123,31.05018424987793,18.864240646362305,18.472370147705078,11.370427131652832,24.847185134887695,20.66940689086914,9.526891708374023,13.775857925415039,10.279820442199707,15.111902236938477,17.44913673400879,26.80454444885254,15.775238990783691,31.919788360595703,16.737098693847656,18.372451782226562,16.259441375732422,13.016533851623535,21.034616470336914,14.416254043579102,12.764198303222656,17.957504272460938,20.55655288696289,14.388319969177246,14.534828186035156,11.857653617858887,20.14726448059082,19.207595825195312,13.450396537780762,12.96180248260498,18.083881378173828,16.37456703186035,9.888993263244629,16.574634552001953,19.347829818725586,16.927345275878906,10.53026294708252,18.18155288696289,21.079330444335938,9.701216697692871,20.773296356201172,27.753759384155273,16.853961944580078,15.896112442016602,16.286327362060547,25.3347225189209,8.854376792907715,10.078426361083984,19.989648818969727,22.354089736938477,16.37299346923828,,13.682978630065918,18.158035278320312,11.62305736541748,14.12536334991455,11.341288566589355,14.021400451660156,9.730791091918945,18.073123931884766,15.501734733581543,12.760722160339355,19.302019119262695,12.825596809387207,24.064437866210938,16.44036865234375,18.998186111450195,19.72551918029785,15.785440444946289,12.2346773147583
2024-04-23 00:00:00-04:00,11.317557334899902,19.66454315185547,22.423776626586914,16.07526969909668,21.216535568237305,8.930957794189453,30.658111572265625,18.937288284301758,18.463655471801758,11.417529106140137,25.301313400268555,20.66940689086914,9.526891708374023,13.881622314453125,10.375895500183105,15.296467781066895,17.718441009521484,26.9868221282959,16.378664016723633,32.48875427246094,16.644010543823242,18.9842472076416,16.481470108032227,13.016533851623535,21.87330436706543,14.480002403259277,13.042722702026367,18.153858184814453,20.83165168762207,14.359370231628418,14.506750106811523,12.01943588256836,20.302616119384766,19.280044555664062,13.459074974060059,13.05760383605957,18.093433380126953,16.37456703186035,10.105290412902832,16.716527938842773,18.453840255737305,16.927345275878906,10.53026294708252,19.081438064575195,22.793643951416016,9.83031940460205,21.128314971923828,27.684720993041992,17.34085464477539,15.905771255493164,16.422800064086914,25.39339256286621,8.99492359161377,10.22012710571289,19.970657348632812,22.354089736938477,16.382530212402344,,13.726749420166016,18.31897735595703,11.62305736541748,14.087212562561035,11.414812088012695,14.08825969696045,10.509997367858887,17.953676223754883,15.682318687438965,12.899710655212402,19.16628074645996,12.096975326538086,24.11166000366211,16.44036865234375,19.266443252563477,19.75260353088379,15.794825553894043,12.326666831970215
2024-04-24 00:00:00-04:00,11.163228034973145,19.412931442260742,21.929561614990234,16.30049705505371,21.09449005126953,9.231806755065918,30.648548126220703,18.98294448852539,18.45494270324707,11.568254470825195,25.051082611083984,20.85903549194336,9.526891708374023,13.960945129394531,10.3374662399292,15.377495765686035,17.839162826538086,27.303409576416016,16.36908531188965,32.37303161621094,16.616086959838867,18.808128356933594,16.652263641357422,12.977794647216797,21.94078254699707,14.452681541442871,13.196393013000488,18.10923194885254,21.06880760192871,14.407621383666992,14.506750106811523,11.78152084350586,19.525856018066406,19.234764099121094,13.476428985595703,13.182144165039062,18.141199111938477,16.471860885620117,10.044726371765137,16.814075469970703,22.58501625061035,16.927345275878906,10.53026294708252,18.636335372924805,23.109691619873047,9.682772636413574,21.11871910095215,27.221172332763672,17.518756866455078,16.02165985107422,16.604772567749023,25.598730087280273,8.901225090026855,10.202417373657227,20.056123733520508,22.354089736938477,16.45881462097168,,13.753012657165527,18.716598510742188,11.62305736541748,14.068137168884277,11.708913803100586,14.002296447753906,10.417235374450684,18.15581703186035,15.976959228515625,12.977890014648438,19.130083084106445,12.106318473815918,24.55554962158203,16.44036865234375,19.4101505279541,19.80677032470703,15.80420970916748,12.501447677612305
