ticker_id,ticker,id,date_id,close_price,date
1,ASTS,,,,
2,ATEX,,,,
3,ATNI,,,,
4,BAND,,,,
5,CCOI,,,,
6,FYBR,,,,
7,GSAT,,,,
8,IDT,,,,
9,IQST,,,,
10,IRDM,,,,
11,LILA,,,,
12,LILAK,,,,
13,LUMN,,,,
14,NXPL,,,,
15,SHEN,,,,
16,T,,,,
17,VZ,,,,
18,AMC,,,,
19,BATRA,,,,
20,BATRK,,,,
21,BLMZ,,,,
22,CNK,,,,
23,CNVS,,,,
24,CURI,,,,
25,DIS,,,,
26,DLPN,,,,
27,EA,,,,
28,EB,,,,
29,FWONA,,,,
30,FWONK,,,,
31,GAIA,,,,
32,GMGI,,,,
33,GXAI,,,,
34,LLYVA,,,,
35,LLYVK,,,,
36,LVO,,,,
37,LYV,,,,
38,MCS,,,,
39,MITQ,,,,
40,MSGE,,,,
41,MSGM,,,,
42,MSGS,,,,
43,MYPS,,,,
44,NFLX,,,,
45,PODC,,,,
46,RBLX,,,,
47,RDI,,,,
48,RDIB,,,,
49,ROKU,,,,
50,RSVR,,,,
51,SEAT,,,,
52,SKLZ,,,,
53,SNAL,,,,
54,SPHR,,,,
55,STRZ,,,,
56,TBH,,,,
57,TKO,,,,
58,TOON,,,,
59,TRUG,,,,
60,TTWO,,,,
61,WBD,,,,
62,WMG,,,,
63,ANGI,,,,
64,AREN,,,,
65,BMBL,,,,
66,BZFD,,,,
67,CARG,,,,
68,CARS,,,,
69,DHX,,,,
70,DJT,,,,
71,EVER,,,,
72,FUBO,,,,
73,GETY,,,,
74,GIFT,,,,
75,GOOG,,,,
76,GOOGL,,,,
77,GRND,,,,
78,GTM,,,,
79,HWH,,,,
80,IAC,,,,
81,IPM,,,,
82,IZEA,,,,
83,KIND,,,,
84,MAX,,,,
85,META,,,,
86,MTCH,,,,
87,PINS,,,,
88,PSQH,,,,
89,QNST,,,,
90,RDDT,,,,
91,RUM,,,,
92,SLE,,,,
93,SNAP,,,,
94,SOPA,,,,
95,SST,,,,
96,SSTK,,,,
97,TEAD,,,,
98,TRIP,,,,
99,TZOO,,,,
100,VMEO,,,,
101,WBTN,,,,
102,YELP,,,,
103,ZD,,,,
104,ZDGE,,,,
105,ZIP,,,,
106,TRUE,,,,
107,ADV,,,,
108,AMCX,,,,
109,ASST,,,,
110,ATUS,,,,
111,BBGI,,,,
112,BOC,,,,
113,CABO,,,,
114,CCO,,,,
115,CDLX,,,,
116,CHTR,,,,
117,CMCSA,,,,
118,CREX,,,,
119,DALN,,,,
120,DRCT,,,,
121,DV,,,,
122,EEX,,,,
123,EVC,,,,
124,FLNT,,,,
125,FOX,,,,
126,FOXA,,,,
127,GCI,,,,
128,GTN,,,,
129,GTN/A,,,,
130,HHS,,,,
131,IAS,,,,
132,IBTA,,,,
133,IHRT,,,,
134,IPG,,,,
135,LBRDA,,,,
136,LBRDK,,,,
137,LEE,,,,
138,MCHX,,,,
139,MGNI,,,,
140,MNTN,,,,
141,NCMI,,,,
142,NMAX,,,,
143,NWS,,,,
144,NWSA,,,,
145,NXST,,,,
146,NYT,,,,
147,OMC,,,,
148,PARA,,,,
149,PARAA,,,,
150,PUBM,,,,
151,SATS,,,,
152,SBGI,,,,
153,SCHL,,,,
154,SCOR,,,,
155,SGA,,,,
156,SGRP,,,,
157,SIRI,,,,
158,SSP,,,,
159,STGW,,,,
160,SWAG,,,,
161,TGL,,,,
162,TGNA,,,,
163,THRY,,,,
164,TSQ,,,,
165,TTD,,,,
166,TTGT,,,,
167,UONE,,,,
168,UONEK,,,,
169,WLY,,,,
170,WLYB,,,,
171,WOW,,,,
172,XHLD,,,,
173,YHC,,,,
174,GOGO,,,,
175,KORE,,,,
176,SPOK,,,,
177,TDS,,,,
178,TMUS,,,,
179,USM,,,,
180,ADNT,,,,
181,AXL,,,,
182,BWA,,,,
183,CPS,,,,
184,DAN,,,,
185,DORM,,,,
186,FOXF,,,,
187,GNTX,,,,
188,GT,,,,
189,HLLY,,,,
190,LAZR,,,,
191,LCII,,,,
192,LEA,,,,
193,MKDW,,,,
194,MOD,,,,
195,MPAA,,,,
196,PATK,,,,
197,PHIN,,,,
198,QS,,,,
199,SLDP,,,,
200,SMP,,,,
201,SRI,,,,
202,STRT,,,,
203,SUP,,,,
204,SYPR,,,,
205,THRM,,,,
206,VC,,,,
207,WKSP,,,,
208,XPEL,,,,
209,AYRO,,,,
210,CENN,,,,
211,ECDA,,,,
212,EVTV,,,,
213,F,,,,
214,FFAI,,,,
215,FLYE,,,,
216,GM,,,,
217,HOG,,,,
218,LCID,,,,
219,LVWR,,,,
220,MAMO,,,,
221,MULN,,,,
222,RIVN,,,,
223,THO,,,,
224,TSLA,,,,
225,VLCN,,,,
226,WGO,,,,
227,WKHS,,,,
228,AMZN,,,,
229,CPNG,,,,
230,DDS,,,,
231,DIBS,,,,
232,EBAY,,,,
233,ETSY,,,,
234,GRPN,,,,
235,HOUR,,,,
236,KSS,,,,
237,M,,,,
238,OLLI,,,,
239,QVCGA,,,,
240,SVV,,,,
241,AENT,,,,
242,AMRK,,,,
243,CTNT,,,,
244,DIT,,,,
245,EDUC,,,,
246,GCT,,,,
247,GNLN,,,,
248,GPC,,,,
249,KAVL,,,,
250,LKQ,,,,
251,POOL,,,,
252,WEYS,,,,
253,ADD,,,,
254,ADT,,,,
255,ALUR,,,,
256,AMBO,,,,
257,AMST,,,,
258,APEI,,,,
259,ATGE,,,,
260,BFAM,,,,
261,BODI,,,,
262,CHGG,,,,
263,COUR,,,,
264,CSV,,,,
265,DUOL,,,,
266,EEIQ,,,,
267,EWCZ,,,,
268,FTDR,,,,
269,GHC,,,,
270,HRB,,,,
271,KIDZ,,,,
272,KLC,,,,
273,LAUR,,,,
274,LGCY,,,,
275,LINC,,,,
276,LOPE,,,,
277,LRN,,,,
278,MATW,,,,
279,MCW,,,,
280,MYND,,,,
281,NRDY,,,,
282,PET,,,,
283,PRDO,,,,
284,RGS,,,,
285,SCI,,,,
286,STRA,,,,
287,UDMY,,,,
288,UTI,,,,
289,XWEL,,,,
290,ZSPC,,,,
291,ABNB,,,,
292,ACEL,,,,
293,AGAE,,,,
294,AGH,,,,
295,AGS,,,,
296,ARKR,,,,
297,ARMK,,,,
298,BALY,,,,
299,BDL,,,,
300,BH,,,,
301,BH/A,,,,
302,BJRI,,,,
303,BKNG,,,,
304,BLMN,,,,
305,BROS,,,,
306,BTBD,,,,
307,BYD,,,,
308,CAKE,,,,
309,CAVA,,,,
310,CBRL,,,,
311,CCL,,,,
312,CHDN,,,,
313,CHH,,,,
314,CMG,,,,
315,CNTY,,,,
316,CPHC,,,,
317,CUK,,,,
318,CZR,,,,
319,DASH,,,,
320,DENN,,,,
321,DIN,,,,
322,DKNG,,,,
323,DNUT,,,,
324,DPZ,,,,
325,DRI,,,,
326,EAT,,,,
327,EVRI,,,,
328,EXPE,,,,
329,FAT,,,,
330,FATBB,,,,
331,FLL,,,,
332,FLUT,,,,
333,FUN,,,,
334,FWRG,,,,
335,GBTG,,,,
336,GDEN,,,,
337,GENK,,,,
338,GTIM,,,,
339,H,,,,
340,HGV,,,,
341,HLT,,,,
342,HOFV,,,,
343,IGT,,,,
344,INSE,,,,
345,ISPO,,,,
346,JACK,,,,
347,KRUS,,,,
348,LIND,,,,
349,LNW,,,,
350,LOCO,,,,
351,LTH,,,,
352,LTRY,,,,
353,LUCK,,,,
354,LVS,,,,
355,MAR,,,,
356,MCD,,,,
357,MCRI,,,,
358,MGM,,,,
359,MTN,,,,
360,NATH,,,,
361,NCLH,,,,
362,NDLS,,,,
363,PBPB,,,,
364,PENN,,,,
365,PLAY,,,,
366,PLNT,,,,
367,PLYA,,,,
