id_sec,sector_id,sector,date_id,date,volume,close_price,dayHigh,dayLow
9295,1,Communication Services,20250612,6/12/2025,21140422977,336569.3401,341223.3091,334095.7663
19522,2,Consumer Discretionary,20250612,6/12/2025,1.14937E+11,3097139.009,3121983.67,3053150.888
29749,3,Consumer Staples,20250612,6/12/2025,10572129656,470148.0944,471947.8382,461623.8574
39976,4,Energy,20250612,6/12/2025,78119160200,947207.8737,954126.7662,928860.888
50203,5,Financials,20250612,6/12/2025,102584600,1835.399959,1871.729931,1789.291984
60430,6,Health Care,20250612,6/12/2025,5.8041E+11,5608691.996,5694460.584,5490686.795
70657,7,Industrials,20250612,6/12/2025,49111862972,2559458.986,2576381.069,2524255.658
80884,8,Information Technology,20250612,6/12/2025,1.54101E+11,3720748.959,3765159.582,3679192.385
91111,9,Materials,20250612,6/12/2025,13113887900,439050.4936,443230.2475,432992.2072
101338,10,Real Estate,20250612,6/12/2025,501543100,2415.50898,2425.500997,2355.978947
111565,11,Utilities,20250612,6/12/2025,4559060100,93179.81025,93628.61286,91804.35033
9296,1,Communication Services,20250613,6/13/2025,18710396680,332309.1984,337892.7453,329711.7558
19523,2,Consumer Discretionary,20250613,6/13/2025,76051869731,3026023.364,3091229.738,3003393.833
29750,3,Consumer Staples,20250613,6/13/2025,11953762200,463680.5138,474264.0577,461144.6144
39977,4,Energy,20250613,6/13/2025,1.30056E+11,965858.0555,977313.0104,942408.4865
50204,5,Financials,20250613,6/13/2025,122340200,1798.687978,1837.933953,1771.318984
60431,6,Health Care,20250613,6/13/2025,3.26282E+11,5544607.281,5651178.753,5460714.535
70658,7,Industrials,20250613,6/13/2025,56257678578,2525794.167,2565038.862,2504423.501
80885,8,Information Technology,20250613,6/13/2025,1.60245E+11,3644719.84,3715685.318,3611053.199
91112,9,Materials,20250613,6/13/2025,15842068250,432898.9823,441813.7379,428487.59
101339,10,Real Estate,20250613,6/13/2025,643866300,2373.785039,2424.599017,2352.545041
111566,11,Utilities,20250613,6/13/2025,4788458600,92442.50049,93633.56018,91794.09795
9299,1,Communication Services,20250616,6/16/2025,21232782110,337648.6316,342001.7583,331773.4025
19526,2,Consumer Discretionary,20250616,6/16/2025,86125079615,3059176.774,3088709.202,3012988.386
29753,3,Consumer Staples,20250616,6/16/2025,12325332139,461190.0409,466272.9292,456345.5359
39980,4,Energy,20250616,6/16/2025,97916319177,960412.3581,982346.431,945682.8095
50207,5,Financials,20250616,6/16/2025,275381501,1851.494691,1884.894396,1809.379435
60434,6,Health Care,20250616,6/16/2025,3.27774E+11,5540821.221,5643586.677,5438991.026
70661,7,Industrials,20250616,6/16/2025,58551340569,2546574.161,2577625.768,2519513.68
80888,8,Information Technology,20250616,6/16/2025,1.74681E+11,3704364.22,3738147.175,3648505.593
91115,9,Materials,20250616,6/16/2025,14780506527,434707.8865,440857.9788,430502.5326
101342,10,Real Estate,20250616,6/16/2025,717712587,2369.446668,2429.311085,2354.461211
111569,11,Utilities,20250616,6/16/2025,4001152885,92354.64059,94013.89157,91624.46001
9300,1,Communication Services,20250617,6/17/2025 0:00,20485125822,335657.0223,341370.8291,332326.6427
19527,2,Consumer Discretionary,20250617,6/17/2025 0:00,62575051385,3023665.903,3084748.088,3002966.148
29754,3,Consumer Staples,20250617,6/17/2025 0:00,10210479541,458584.1134,465737.9163,456021.5183
39981,4,Energy,20250617,6/17/2025 0:00,72714018215,969985.131,987486.3281,955006.9046
50208,5,Financials,20250617,6/17/2025 0:00,175845314,1826.180195,1873.923188,1805.572416
60435,6,Health Care,20250617,6/17/2025 0:00,6.78674E+11,5457183.837,5598201.098,5393000.171
70662,7,Industrials,20250617,6/17/2025 0:00,62821358522,2524654.552,2563740.022,2505693.458
80889,8,Information Technology,20250617,6/17/2025 0:00,1.71794E+11,3678081.505,3735169.04,3640698.357
91116,9,Materials,20250617,6/17/2025 0:00,16138457805,431489.5686,438281.7768,428330.8976
101343,10,Real Estate,20250617,6/17/2025 0:00,795130025,2305.646543,2377.23077,2293.767529
111570,11,Utilities,20250617,6/17/2025 0:00,4072410882,91933.17068,92978.09714,90945.29442
9301,1,Communication Services,20250618,6/18/2025 0:00,19828731528,324223.0603,328721.4249,319913.9683
19528,2,Consumer Discretionary,20250618,6/18/2025 0:00,52304217760,2864319.033,2903605.867,2841792.724
29755,3,Consumer Staples,20250618,6/18/2025 0:00,9477917215,417257.1563,420927.2519,409692.6988
39982,4,Energy,20250618,6/18/2025 0:00,58943072670,717001.7622,731627.9273,707653.4122
50209,5,Financials,20250618,6/18/2025 0:00,200102860,1373.570001,1405.496001,1338.460007
60436,6,Health Care,20250618,6/18/2025 0:00,3.86283E+11,4932463.845,5018834.006,4836471.068
70663,7,Industrials,20250618,6/18/2025 0:00,47554218415,2264753.747,2301861.552,2245838.207
80890,8,Information Technology,20250618,6/18/2025 0:00,1.51444E+11,3255639.399,3314336.428,3222450.541
91117,9,Materials,20250618,6/18/2025 0:00,14566526462,407157.917,412827.49,403909.2743
101344,10,Real Estate,20250618,6/18/2025 0:00,848965232,1712.029975,1734.412968,1691.00698
111571,11,Utilities,20250618,6/18/2025 0:00,3918427581,86220.25984,86867.47645,85369.4223
9303,1,Communication Services,20250620,6/20/2025 0:00,47661670423,340484.5452,347292.0617,336191.6343
