id_ind,industry_id,industry,date_id,date,volume,close_price,dayHigh,dayLow
275201.0,27.0,Food Products,20250616,6/16/2025,97303795,4974.047906,5023.616002,4921.201591
285425.0,28.0,Gas Utilities,20250613,6/13/2025,7404200,801.03001503,812.37000374,798.17000202
285428.0,28.0,Gas Utilities,20250616,6/16/2025,7651897,799.75,810.9071016,794.4450035
295652.0,29.0,Ground Transportation,20250613,6/13/2025,59501500,2029.0799889950001,2058.716019713,2013.638018724
295655.0,29.0,Ground Transportation,20250616,6/16/2025,54773040,2058.509985,2073.549899,2027.538898
305879.0,30.0,Health Care Equipment & Supplies,20250613,6/13/2025,127463700,6447.9729999109995,6559.1849968120005,6373.25199395
305882.0,30.0,Health Care Equipment & Supplies,20250616,6/16/2025,120123521,6501.034404,6575.141931,6424.755018
316106.0,31.0,Health Care Providers & Services,20250613,6/13/2025,121108200,6612.4830438379995,6688.917045185,6543.530989967
316109.0,31.0,Health Care Providers & Services,20250616,6/16/2025,149018931,6606.660296,6693.286416,6475.460405
326333.0,32.0,Health Care Technology,20250613,6/13/2025,839048400,632.393988193,645.855986782,622.559982358
326336.0,32.0,Health Care Technology,20250616,6/16/2025,894633904,638.0932916,644.8978984,625.1896853
336560.0,33.0,Hotel & Resort REITs,20250613,6/13/2025,0,2.329999924,2.329999924,2.329999924
336563.0,33.0,Hotel & Resort REITs,20250616,6/16/2025,729,2.299999952,2.299999952,2.295000076
346787.0,34.0,"Hotels, Restaurants & Leisure",20250613,6/13/2025,257448210,11822.695859631236,12032.583042014236,11729.070865710235
346790.0,34.0,"Hotels, Restaurants & Leisure",20250616,6/16/2025,256618089,12005.54152,12101.94362,11828.49786
357014.0,35.0,Household Durables,20250613,6/13/2025,49491700,9823.035907379,10065.46590347,9759.550992633
357017.0,35.0,Household Durables,20250616,6/16/2025,49949897,9869.043698,9946.467341,9738.989905
367241.0,36.0,Household Products,20250613,6/13/2025,21765600,1057.31998441,1085.6700020399999,1055.19999686
367244.0,36.0,Household Products,20250616,6/16/2025,22670361,1064.489998,1072.194992,1056.620996
377468.0,37.0,IT Services,20250613,6/13/2025,228880500,2784.646995962,2841.030997039,2764.965989273
377471.0,37.0,IT Services,20250616,6/16/2025,253620558,2833.093861,2855.035703,2780.456108
387695.0,38.0,Independent Power and Renewable Electricity Producers,20250613,6/13/2025,24374200,626.950007836,634.490006485,616.587991037
387698.0,38.0,Independent Power and Renewable Electricity Producers,20250616,6/16/2025,18081788,635.4000125,645.9258053,630.1361095
397922.0,39.0,Industrial Conglomerates,20250613,6/13/2025,4947400,366.6100006,370.5800018,365.23999019999997
397925.0,39.0,Industrial Conglomerates,20250616,6/16/2025,4118129,369.1600037,371.7700043,367.1499939
408149.0,40.0,Insurance,20250613,6/13/2025,8760000,14.546999813,14.939999934000001,14.380000173
408152.0,40.0,Insurance,20250616,6/16/2025,12444071,15.54199982,15.61500013,14.79020005
418376.0,41.0,Interactive Media & Services,20250613,6/13/2025,155008900,1597.355000512,1630.608018126,1580.714015411
418379.0,41.0,Interactive Media & Services,20250616,6/16/2025,179626270,1640.049904,1653.944717,1609.665413
428603.0,42.0,Leisure Products,20250613,6/13/2025,33381900,500.388998677,515.399000163,496.705005288
428606.0,42.0,Leisure Products,20250616,6/16/2025,274655370,521.3702988,527.8647062,504.5146037
438830.0,43.0,Life Sciences Tools & Services,20250613,6/13/2025,73934300,4031.6860387,4121.010926145,4014.725011645
438833.0,43.0,Life Sciences Tools & Services,20250616,6/16/2025,80465970,4092.739163,4120.679677,3987.467434
449057.0,44.0,Machinery,20250613,6/13/2025,83926600,8902.447016473,9039.072033134,8848.021002727
449060.0,44.0,Machinery,20250616,6/16/2025,95401052,9025.908663,9104.741955,8925.097088
459284.0,45.0,Marine Transportation,20250613,6/13/2025,2524600,247.23500065800002,251.334998713,245.461007438
459287.0,45.0,Marine Transportation,20250616,6/16/2025,2108600,247.9600055,251.0299985,245.3975021
469511.0,46.0,Media,20250613,6/13/2025,89859075,1745.588993881,1778.924015249,1735.884001423
469514.0,46.0,Media,20250616,6/16/2025,107303710,1753.235211,1798.272299,1724.584508
479738.0,47.0,Metals & Mining,20250613,6/13/2025,173218710,2063.920090279,2085.939013055,2023.455509015
479741.0,47.0,Metals & Mining,20250616,6/16/2025,165827032,2070.532091,2104.788015,2045.681288
489965.0,48.0,Multi-Utilities,20250613,6/13/2025,30220900,994.9799995200001,1008.62998961,991.53998942
489968.0,48.0,Multi-Utilities,20250616,6/16/2025,28680424,984.7500038,1002.718502,979.2050056
